type, client, tx, amount
deposit, 1, 1, 1000.0
withdrawal, 1, 2, 200.0
deposit, 1, 3, 200.0
dispute, 1, 1,
resolve, 1, 1,
 deposit, 1, 6, 500.0
 withdrawal, 1, 7, 500.0
deposit, 2, 8, 1000.0
deposit, 2, 9, 500.0
withdrawal, 2, 10, 500.0
dispute, 2, 8,
chargeback, 2, 8,
deposit, 2, 13, 9999.0
withdrawal, 2, 14, 100.0
dispute, 2, 9,
resolve, 2, 8,
deposit, 3, 17, 1000.0
withdrawal, 3, 18, 300.0
dispute, 3, 18,
resolve, 3, 18,
deposit, 3, 21, 300.0
deposit, 3, 40, 500.0
dispute, 3, 40,
dispute, 3, 40,
deposit, 4, 22, 1000.0
withdrawal, 4, 23, 400.0
dispute, 4, 23,
chargeback, 4, 23,
deposit, 4, 26, 500.0
withdrawal, 4, 27, 100.0
dispute, 4, 22,
deposit, 5, 29, 1000.0
deposit, 5, 30, 1234.5678
deposit, 5, 31, 98.7657
dispute, 1, 999,
dispute, 3, 1,
withdrawal, 5, 35, 99999.0
unknown_type, 1, 37, 100.0
